County,District,Sex,Age,Religion,Education,Years,Households,Have you had MoH approved training on COVID-19?,Have you been involved in educating the community on COVID-19?,Your main source of Income,Have you attended a course where COVID-19 vaccination was discussed?,"Do you have access to COVID-19 vaccination materials (literature, IEC materials) for quick reference when necessary?",Do you have a designated person with knowledge on COVID-19 vaccination whom you can consult when you have a question on COVID-19 vaccination?,Concerning how the COVID-19 vaccines work to prevent infection,To what extent do you think you are well-informed enough about COVID-19 vaccine to sensitize your family/ community members?,Do you know what the COVID-19 vaccine contains?,What should the people who have received the COVID-19 vaccine do?,The effectiveness of COVID-19 vaccines in preventing infection:,People who have already suffered COVID-19 infection:,ACQ1: Attitude on Contextual Influences,ACQ2: Attitude on Contextual Influences,ACQ3: Attitude on Contextual Influences,ACQ4: Attitude on Contextual Influences,ACQ5: Attitude on Contextual Influences,ACQ6: Attitude on Contextual Influences,ACQ7: Attitude on Contextual Influences,AIQ1: Attitude on Individual and Group Influences,AIQ12: Attitude on Individual and Group Influences,AIQ3: Attitude on Individual and Group Influences,AIQ4: Attitude on Individual and Group Influences,AIQ5: Attitude on Individual and Group Influences,AIQ6: Attitude on Individual and Group Influences,AVSQ1: Attitude on Vaccine safety and vaccination specific issues,AVSQ2: Attitudeon  Vaccine safety and vaccination specific issues,AVSQ3: Attitude on Vaccine safety and vaccination specific issues,AVSQ4: Attitude on Vaccine safety and vaccination specific issues,AVSQ5: Attitude on Vaccine safety and vaccination specific issues,AVSQ6: Attitude on Vaccine safety and vaccination specific issues,Source,Information
Nairobi,Langata,Female,Above 35 years,Protestant,Others,Above 5 years,More than 50,Yes,Yes,CHV work,Yes,No,Yes,I can explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Somehow confident,Don't know,People cannot be vaccinated for a disease they do not have,Somewhat,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,I do not know,Radio/TV,4 he1lth worker from the motoury,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not too much,Radio/TV,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Very confident,Not at all,"3,6",Not too much,Radio/TV,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Protestant,Others,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I can explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,I do not know,Radio/TV,Fellow health workers,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Very much,The ingredients used to make the COVID-19 vaccine are unsafe,Somewhat,Radio/TV,Fellow health workers
Nairobi,Langata,Female,25-35 years,Others,Primary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Somewhat,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Very much,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Catholic,Primary,3-5 years,More than 50,No,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,"Do not have to wear masks, social distance or wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Not confident at all,Very much,The ingredients used to make the COVID-19 vaccine are unsafe,Not too much,Radio/TV,Fellow health workers
Nairobi,Langata,Female,25-35 years,Others,Others,Above 5 years,More than 50,No,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Not confident,Not too much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not too much,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Male,Above 35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,Fellow health workers,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Somehow confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Catholic,Others,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,I do not know,Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Somehow confident,Very much,The ingredients used to make the COVID-19 vaccine are unsafe,Not too much,Radio/TV,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Others,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Somehow confident,Not too much,The ingredients used to make the COVID-19 vaccine are unsafe,Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,18-24 years,Catholic,Others,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,I do not know,Radio/TV,Friends/relatives,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Don't know,Somewhat,The ingredients used to make the COVID-19 vaccine are unsafe,Not too much,Radio/TV,Friends/relatives
Nairobi,Embakasi West,Female,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,"1,2",Fellow health workers,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Somehow confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Not at all,Social media/Radio/TV,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Catholic,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,Yes,Yes,I do not know how the vaccines work,Small extent,No,"Do not have to wear masks, social distance or wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Community meetings,Fellow health workers,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Somehow confident,Somewhat,Vaccines are not tested enough for safety,Somewhat,Community meetings,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Somehow confident,Not at all,The ingredients used to make the COVID-19 vaccine are unsafe,Don't know,Social media,Fellow health workers
Nairobi,Embakasi West,Female,25-35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Large extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Community meetings,Fellow health workers,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Very confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Community meetings,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Others,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Not confident,Not at all,The ingredients used to make the COVID-19 vaccine are unsafe,Not at all,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,No,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Somehow confident,Somewhat,The ingredients used to make the COVID-19 vaccine are unsafe,Don't know,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,25-35 years,Protestant,Secondary,Less than 3 years,More than 50,No,No,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,I do not know,I do not know,Should not get the COVID-19 vaccine,Social media,Friends/relatives,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Don't know,Don't know,The vaccine might cause chronic diseases,Don't know,Social media,Friends/relatives
Nairobi,Embakasi West,Male,Above 35 years,Others,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,"1,2",Fellow health workers,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Very confident,Somewhat,Vaccines are not tested enough for safety,Somewhat,Social media/Radio/TV,Fellow health workers
Nairobi,Westlands,Female,Above 35 years,Others,Primary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,I do not know,Other (Explain),Fellow health workers,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Not confident at all,Not at all,"1,2",Very much,Social media/Radio/TV/IEC/Community meetings,Fellow health workers
Nairobi,Langata,Male,25-35 years,Protestant,Others,Less than 3 years,More than 50,Yes,No,Other non-formal employment,No,No,No,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Somehow confident,Not too much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not too much,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Male,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I can explain to the community how the vaccines work,Large extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,I do not know,"1,2",Fellow health workers,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Somehow confident,Not too much,The ingredients used to make the COVID-19 vaccine are unsafe,Somewhat,Social media/Radio/TV,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Others,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Community meetings,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Somehow confident,Not too much,The ingredients used to make the COVID-19 vaccine are unsafe,Not too much,Community meetings,Fellow health workers
Nairobi,Langata,Female,25-35 years,Catholic,Secondary,Less than 3 years,More than 50,No,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,"1,2",Fellow health workers,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Somehow confident,Very much,The vaccine might cause chronic diseases,Don't know,Social media/Radio/TV,Fellow health workers
Nairobi,Langata,Female,25-35 years,Catholic,Primary,Less than 3 years,More than 50,Not sure,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Somehow confident,Somewhat,Vaccines are not tested enough for safety,Not too much,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Not sure,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Do not have to wear masks, social distance or wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should not get the COVID-19 vaccine,Social media,Fellow health workers,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Very much,Social media,Fellow health workers
Nairobi,Westlands,Female,Above 35 years,Catholic,Primary,Above 5 years,More than 50,Yes,Yes,CHV work,No,Yes,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should not get the COVID-19 vaccine,IEC materials from MoH,Friends/relatives,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Don't know,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not at all,IEC materials,Friends/relatives
Nairobi,Westlands,Female,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,"1,2,3,4","1,3",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Somehow confident,Somewhat,"1,7,8",Not too much,Social media/Radio/TV/IEC/Community meetings,Friends/relatives
Nairobi,Westlands,Female,Above 35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Not confident,Don't know,"7,8",Don't know,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Somehow confident,Somewhat,"7,8",Don't know,Radio/TV,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Very confident,Not too much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Very much,Social media,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Somehow confident,Not too much,Vaccines are not tested enough for safety,Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,25-35 years,Others,Primary,Less than 3 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Somehow confident,Don't know,The COVID-19 vaccine might weaken the immunity of the people,Don't know,Radio/TV,Fellow health workers
Nairobi,Langata,Male,25-35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Somehow confident,Somewhat,Vaccine is only given to people who are seriously infected with the virus,Not too much,Radio/TV,Fellow health workers
Nairobi,Langata,Male,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Average extent,No,"Do not have to wear masks, social distance or wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Confident,Not at all,Vaccines are not tested enough for safety,Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,Above 35 years,Others,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,No,I can explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Other (Explain),Other (Explain),No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Very confident,Very much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not too much,Community meetings,Other
Nairobi,Langata,Male,25-35 years,Others,Secondary,Less than 3 years,More than 50,Yes,Yes,Other non-formal employment,Yes,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not confident at all,Not at all,I don’t have any concerns about the COVID-19 vaccine,Not at all,Radio/TV,Fellow health workers
